Subject,Item,VerbType,Position,RT,NPPredictability
Subj1,Item1,AspV,Verb,265.47 ,0.00 
Subj1,Item1,AspV,NP,172.19 ,0.00 
Subj1,Item1,AspV,NP_1,226.86 ,0.00 
Subj1,Item1,AspV,NP_2,263.49 ,0.00 
Subj1,Item2,PrefV,Verb,170.94 ,0.30 
Subj1,Item2,PrefV,NP,177.59 ,0.30 
Subj1,Item2,PrefV,NP_1,216.29 ,0.30 
Subj1,Item2,PrefV,NP_2,172.96 ,0.30 
Subj1,Item3,NonPrefV,Verb,126.17 ,0.00 
Subj1,Item3,NonPrefV,NP,150.83 ,0.00 
Subj1,Item3,NonPrefV,NP_1,174.15 ,0.00 
Subj1,Item3,NonPrefV,NP_2,148.83 ,0.00 
Subj1,Item4,AspV,Verb,147.62 ,0.00 
Subj1,Item4,AspV,NP,123.78 ,0.00 
Subj1,Item4,AspV,NP_1,116.32 ,0.00 
Subj1,Item4,AspV,NP_2,125.78 ,0.00 
Subj1,Item5,PrefV,Verb,123.03 ,0.30 
Subj1,Item5,PrefV,NP,131.67 ,0.30 
Subj1,Item5,PrefV,NP_1,156.32 ,0.30 
Subj1,Item5,PrefV,NP_2,147.63 ,0.30 
Subj1,Item6,NonPrefV,Verb,321.44 ,0.20 
Subj1,Item6,NonPrefV,NP,290.05 ,0.20 
Subj1,Item6,NonPrefV,NP_1,580.02 ,0.20 
Subj1,Item6,NonPrefV,NP_2,298.68 ,0.20 
Subj1,Item7,AspV,Verb,153.43 ,0.00 
Subj1,Item7,AspV,NP,112.70 ,0.00 
Subj1,Item7,AspV,NP_1,122.02 ,0.00 
Subj1,Item7,AspV,NP_2,98.68 ,0.00 
Subj1,Item8,PrefV,Verb,231.54 ,0.10 
Subj1,Item8,PrefV,NP,267.55 ,0.10 
Subj1,Item8,PrefV,NP_1,286.24 ,0.10 
Subj1,Item8,PrefV,NP_2,256.23 ,0.10 
Subj1,Item9,NonPrefV,Verb,255.05 ,0.10 
Subj1,Item9,NonPrefV,NP,258.39 ,0.10 
Subj1,Item9,NonPrefV,NP_1,581.71 ,0.10 
Subj1,Item9,NonPrefV,NP_2,316.37 ,0.10 
Subj1,Item10,AspV,Verb,228.23 ,0.00 
Subj1,Item10,AspV,NP,264.22 ,0.00 
Subj1,Item10,AspV,NP_1,283.58 ,0.00 
Subj1,Item10,AspV,NP_2,269.56 ,0.00 
Subj1,Item11,PrefV,Verb,263.86 ,0.50 
Subj1,Item11,PrefV,NP,202.54 ,0.50 
Subj1,Item11,PrefV,NP_1,255.87 ,0.50 
Subj1,Item11,PrefV,NP_2,179.19 ,0.50 
Subj1,Item12,NonPrefV,Verb,244.43 ,0.40 
Subj1,Item12,NonPrefV,NP,248.47 ,0.40 
Subj1,Item12,NonPrefV,NP_1,204.47 ,0.40 
Subj1,Item12,NonPrefV,NP_2,193.80 ,0.40 
Subj1,Item13,AspV,Verb,206.21 ,0.00 
Subj1,Item13,AspV,NP,243.59 ,0.00 
Subj1,Item13,AspV,NP_1,199.64 ,0.00 
Subj1,Item13,AspV,NP_2,221.61 ,0.00 
Subj1,Item14,PrefV,Verb,189.46 ,0.35 
Subj1,Item14,PrefV,NP,227.46 ,0.35 
Subj1,Item14,PrefV,NP_1,168.14 ,0.35 
Subj1,Item14,PrefV,NP_2,190.77 ,0.35 
Subj1,Item15,NonPrefV,Verb,206.70 ,0.00 
Subj1,Item15,NonPrefV,NP,164.00 ,0.00 
Subj1,Item15,NonPrefV,NP_1,299.35 ,0.00 
Subj1,Item15,NonPrefV,NP_2,188.66 ,0.00 
Subj1,Item16,AspV,Verb,163.07 ,0.05 
Subj1,Item16,AspV,NP,122.50 ,0.05 
Subj1,Item16,AspV,NP_1,163.09 ,0.05 
Subj1,Item16,AspV,NP_2,154.51 ,0.05 
Subj1,Item17,PrefV,Verb,274.01 ,0.10 
Subj1,Item17,PrefV,NP,228.04 ,0.10 
Subj1,Item17,PrefV,NP_1,296.67 ,0.10 
Subj1,Item17,PrefV,NP_2,202.66 ,0.10 
Subj1,Item18,NonPrefV,Verb,229.47 ,0.05 
Subj1,Item18,NonPrefV,NP,122.21 ,0.05 
Subj1,Item18,NonPrefV,NP_1,130.80 ,0.05 
Subj1,Item18,NonPrefV,NP_2,122.81 ,0.05 
Subj1,Item19,AspV,Verb,128.35 ,0.20 
Subj1,Item19,AspV,NP,152.98 ,0.20 
Subj1,Item19,AspV,NP_1,112.33 ,0.20 
Subj1,Item19,AspV,NP_2,137.66 ,0.20 
Subj1,Item20,PrefV,Verb,130.66 ,0.40 
Subj1,Item20,PrefV,NP,138.69 ,0.40 
Subj1,Item20,PrefV,NP_1,114.67 ,0.40 
Subj1,Item20,PrefV,NP_2,107.38 ,0.40 
Subj1,Item21,NonPrefV,Verb,119.96 ,0.00 
Subj1,Item21,NonPrefV,NP,192.61 ,0.00 
Subj1,Item21,NonPrefV,NP_1,118.59 ,0.00 
Subj1,Item21,NonPrefV,NP_2,111.31 ,0.00 
Subj1,Item22,AspV,Verb,283.46 ,0.15 
Subj1,Item22,AspV,NP,429.46 ,0.15 
Subj1,Item22,AspV,NP_1,330.11 ,0.15 
Subj1,Item22,AspV,NP_2,314.77 ,0.15 
Subj1,Item23,PrefV,Verb,124.79 ,0.55 
Subj1,Item23,PrefV,NP,84.94 ,0.55 
Subj1,Item23,PrefV,NP_1,94.92 ,0.55 
Subj1,Item23,PrefV,NP_2,120.87 ,0.55 
Subj1,Item24,NonPrefV,Verb,158.53 ,0.00 
Subj1,Item24,NonPrefV,NP,117.79 ,0.00 
Subj1,Item24,NonPrefV,NP_1,110.60 ,0.00 
Subj1,Item24,NonPrefV,NP_2,119.80 ,0.00 
Subj1,Item25,AspV,Verb,147.03 ,0.00 
Subj1,Item25,AspV,NP,203.08 ,0.00 
Subj1,Item25,AspV,NP_1,256.40 ,0.00 
Subj1,Item25,AspV,NP_2,163.77 ,0.00 
Subj1,Item26,PrefV,Verb,147.95 ,0.60 
Subj1,Item26,PrefV,NP,155.31 ,0.60 
Subj1,Item26,PrefV,NP_1,130.70 ,0.60 
Subj1,Item26,PrefV,NP_2,171.29 ,0.60 
Subj1,Item27,NonPrefV,Verb,127.78 ,0.00 
Subj1,Item27,NonPrefV,NP,136.49 ,0.00 
Subj1,Item27,NonPrefV,NP_1,112.43 ,0.00 
Subj1,Item27,NonPrefV,NP_2,137.84 ,0.00 
Subj1,Item28,AspV,Verb,134.63 ,0.00 
Subj1,Item28,AspV,NP,110.59 ,0.00 
Subj1,Item28,AspV,NP_1,167.91 ,0.00 
Subj1,Item28,AspV,NP_2,158.66 ,0.00 
Subj1,Item29,PrefV,Verb,136.67 ,0.25 
Subj1,Item29,PrefV,NP,144.66 ,0.25 
Subj1,Item29,PrefV,NP_1,184.71 ,0.25 
Subj1,Item29,PrefV,NP_2,158.70 ,0.25 
Subj1,Item30,NonPrefV,Verb,161.23 ,0.20 
Subj1,Item30,NonPrefV,NP,456.53 ,0.20 
Subj1,Item30,NonPrefV,NP_1,163.87 ,0.20 
Subj1,Item30,NonPrefV,NP_2,235.34 ,0.20 
Subj1,Item31,AspV,Verb,163.52 ,0.00 
Subj1,Item31,AspV,NP,106.20 ,0.00 
Subj1,Item31,AspV,NP_1,163.54 ,0.00 
Subj1,Item31,AspV,NP_2,138.87 ,0.00 
Subj1,Item32,PrefV,Verb,199.12 ,0.60 
Subj1,Item32,PrefV,NP,124.41 ,0.60 
Subj1,Item32,PrefV,NP_1,181.07 ,0.60 
Subj1,Item32,PrefV,NP_2,187.75 ,0.60 
Subj2,Item1,PrefV,Verb,295.43 ,0.60 
Subj2,Item1,PrefV,NP,585.44 ,0.60 
Subj2,Item1,PrefV,NP_1,335.52 ,0.60 
Subj2,Item1,PrefV,NP_2,223.53 ,0.60 
Subj2,Item2,NonPrefV,Verb,194.68 ,0.35 
Subj2,Item2,NonPrefV,NP,472.65 ,0.35 
Subj2,Item2,NonPrefV,NP_1,339.33 ,0.35 
Subj2,Item2,NonPrefV,NP_2,531.33 ,0.35 
Subj2,Item3,AspV,Verb,457.01 ,0.00 
Subj2,Item3,AspV,NP,628.35 ,0.00 
Subj2,Item3,AspV,NP_1,393.08 ,0.00 
Subj2,Item3,AspV,NP_2,407.05 ,0.00 
Subj2,Item4,PrefV,Verb,256.50 ,0.90 
Subj2,Item4,PrefV,NP,739.82 ,0.90 
Subj2,Item4,PrefV,NP_1,643.86 ,0.90 
Subj2,Item4,PrefV,NP_2,343.93 ,0.90 
Subj2,Item5,NonPrefV,Verb,347.49 ,0.30 
Subj2,Item5,NonPrefV,NP,363.51 ,0.30 
Subj2,Item5,NonPrefV,NP_1,346.87 ,0.30 
Subj2,Item5,NonPrefV,NP_2,346.83 ,0.30 
Subj2,Item6,AspV,Verb,360.43 ,0.10 
Subj2,Item6,AspV,NP,519.82 ,0.10 
Subj2,Item6,AspV,NP_1,272.49 ,0.10 
Subj2,Item6,AspV,NP_2,307.13 ,0.10 
Subj2,Item7,PrefV,Verb,280.11 ,0.45 
Subj2,Item7,PrefV,NP,314.11 ,0.45 
Subj2,Item7,PrefV,NP_1,491.49 ,0.45 
Subj2,Item7,PrefV,NP_2,533.45 ,0.45 
Subj2,Item8,NonPrefV,Verb,276.53 ,0.25 
Subj2,Item8,NonPrefV,NP,518.54 ,0.25 
Subj2,Item8,NonPrefV,NP_1,287.28 ,0.25 
Subj2,Item8,NonPrefV,NP_2,369.29 ,0.25 
Subj2,Item9,AspV,Verb,618.67 ,0.10 
Subj2,Item9,AspV,NP,575.36 ,0.10 
Subj2,Item9,AspV,NP_1,374.09 ,0.10 
Subj2,Item9,AspV,NP_2,340.75 ,0.10 
Subj2,Item10,PrefV,Verb,352.57 ,0.35 
Subj2,Item10,PrefV,NP,367.98 ,0.35 
Subj2,Item10,PrefV,NP_1,559.26 ,0.35 
Subj2,Item10,PrefV,NP_2,470.74 ,0.35 
Subj2,Item11,NonPrefV,Verb,381.00 ,0.40 
Subj2,Item11,NonPrefV,NP,587.67 ,0.40 
Subj2,Item11,NonPrefV,NP_1,257.65 ,0.40 
Subj2,Item11,NonPrefV,NP_2,452.98 ,0.40 
Subj2,Item12,AspV,Verb,377.04 ,0.00 
Subj2,Item12,AspV,NP,679.75 ,0.00 
